,location,total_sqft,bath,price,bhk
0, Devarachikkanahalli,1250.0,2.0,40.0,2
1, Devarachikkanahalli,1200.0,2.0,83.0,2
2, Devarachikkanahalli,1170.0,2.0,40.0,2
3, Devarachikkanahalli,1425.0,2.0,65.0,3
4, Devarachikkanahalli,947.0,2.0,43.0,2
5, Devarachikkanahalli,1130.0,2.0,36.0,2
6, Devarachikkanahalli,1417.0,2.0,76.0,3
7, Devarachikkanahalli,1230.0,2.0,58.0,2
8, Devarachikkanahalli,1705.0,3.0,75.0,3
9, Devarachikkanahalli,1116.0,2.0,47.0,2
10, Devarachikkanahalli,991.0,2.0,40.0,2
11,1st Block Jayanagar,2850.0,4.0,428.0,4
12,1st Block Jayanagar,1630.0,3.0,194.0,3
13,1st Block Jayanagar,1875.0,2.0,235.0,3
14,1st Block Jayanagar,1200.0,2.0,130.0,3
15,1st Block Jayanagar,1235.0,2.0,148.0,2
16,1st Block Jayanagar,2750.0,4.0,413.0,4
17,1st Block Jayanagar,2450.0,4.0,368.0,4
18,1st Phase JP Nagar,1875.0,3.0,167.0,3
19,1st Phase JP Nagar,1500.0,5.0,85.0,5
20,1st Phase JP Nagar,2065.0,4.0,210.0,3
21,1st Phase JP Nagar,2059.0,3.0,225.0,3
22,1st Phase JP Nagar,1394.0,2.0,100.0,2
23,1st Phase JP Nagar,1077.0,2.0,93.0,2
24,1st Phase JP Nagar,1566.0,2.0,180.0,2
25,1st Phase JP Nagar,840.0,2.0,50.0,1
26,1st Phase JP Nagar,1590.0,3.0,131.0,3
27,1st Phase JP Nagar,2180.0,3.0,210.0,3
28,1st Phase JP Nagar,1180.0,2.0,88.5,2
29,1st Phase JP Nagar,1200.0,2.0,86.0,2
30,1st Phase JP Nagar,1394.0,2.0,85.0,2
31,1st Phase JP Nagar,2077.0,3.0,175.0,3
32,1st Phase JP Nagar,1205.0,2.0,85.0,2
33,1st Phase JP Nagar,900.0,2.0,75.0,2
34,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
35,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
36,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
37,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
38,2nd Phase Judicial Layout,900.0,2.0,41.0,2
39,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
40,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
41,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
42,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
43,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
44,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
45,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
46,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
47,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
48,5th Block Hbr Layout,1206.0,2.0,56.0,2
49,5th Block Hbr Layout,1270.0,2.0,70.0,3
50,5th Block Hbr Layout,1312.0,2.0,69.0,2
51,5th Block Hbr Layout,1100.0,2.0,48.0,2
52,5th Block Hbr Layout,3600.0,5.0,130.0,5
53,5th Block Hbr Layout,5100.0,5.0,300.0,6
54,5th Phase JP Nagar,1075.0,2.0,60.0,2
55,5th Phase JP Nagar,1150.0,3.0,52.5,2
56,5th Phase JP Nagar,1256.0,2.0,62.8,2
57,5th Phase JP Nagar,1207.0,2.0,63.0,2
58,5th Phase JP Nagar,1725.0,2.0,100.0,3
59,5th Phase JP Nagar,1440.0,2.0,60.0,2
60,5th Phase JP Nagar,1700.0,2.0,100.0,3
61,5th Phase JP Nagar,2500.0,5.0,110.0,5
